,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
924,WI,NC,1426756
925,NC,WI,1426550
926,FL,MS,1421924
927,UT,OK,1421235
928,OK,UT,1419012
929,VA,NH,1418480
930,IL,AK,1418365
931,NC,AR,1416263
932,OR,NY,1412582
933,OR,NJ,1410906
934,MD,AL,1402952
935,NJ,WI,1398624
936,NY,OR,1392084
937,HI,NJ,1374503
938,WI,TN,1370445
939,WI,NJ,1362804
940,WA,TN,1354477
941,VT,IL,1354200
942,WA,KY,1353109
943,IA,MO,1344798
944,TN,WI,1344400
945,TN,WA,1339724
946,NJ,HI,1337848
947,MO,IA,1336240
948,NJ,OR,1334134
949,IL,VT,1316381
950,UT,AK,1312921
951,NC,WV,1306177
952,ME,MA,1298684
953,AK,UT,1295663
954,NJ,ME,1292720
955,WV,NC,1287691
956,MA,ME,1283564
957,IN,TN,1283433
958,OK,TN,1283173
959,MD,WI,1280198
960,ME,NJ,1279759
961,ID,ID,1272966
962,OR,MO,1263726
963,WV,GA,1256712
964,WI,MD,1255467
965,TN,OK,1255389
966,SC,MD,1252680
967,TN,IN,1252376
968,VA,AL,1249458
969,AL,VA,1248255
970,NM,MN,1248243
971,CA,OK,1247849
972,MD,SC,1245378
973,GA,WV,1244807
974,MN,NM,1234025
975,MO,OR,1228684
976,AK,CA,1216606
977,RI,NJ,1208916
978,CA,AK,1204078
979,KY,LA,1202888
980,PR,MD,1202616
981,NJ,RI,1201593
982,AZ,IA,1198058
983,MD,PR,1194018
984,IA,AZ,1193523
985,OK,CA,1186651
986,OR,VA,1181005
987,AL,MI,1166724
988,MI,AL,1158290
989,ME,IL,1154614
990,NH,GA,1154575
991,GA,NH,1134709
992,NH,NC,1118226
993,NC,MS,1113210
994,MS,NC,1112857
995,ME,MD,1109085
996,IL,ME,1108208
997,LA,KY,1105022
998,PR,CT,1104021
999,VA,OR,1103259
1000,NJ,MD,1098815
1001,MD,ME,1094902
1002,CT,PR,1093832
1003,AZ,LA,1092344
1004,AK,TX,1087430
1005,TX,AK,1083489
1006,VT,NJ,1079298
1007,NM,FL,1077406
1008,NV,IA,1076841
1009,FL,NM,1075581
1010,IA,NV,1073790
1011,LA,AZ,1073767
1012,MD,NJ,1067822
1013,NC,NH,1065080
1014,NJ,VT,1054616
1015,MI,NE,1046955
1016,VI,NY,1040951
1017,NE,MI,1036071
1018,NY,VI,1032576
1019,OH,IN,1025488
1020,IN,OH,1005962
1021,NH,NJ,1003950
1022,IL,ND,996070
1023,NC,VI,994011
1024,AK,CO,993630
1025,ND,IL,989003
1026,MT,NV,988764
1027,IA,FL,981109
1028,UT,NC,980450
1029,NJ,NH,977378
1030,NC,UT,976962
1031,NV,MT,973909
1032,ID,IL,971397
1033,VI,NC,969249
1034,KY,OR,967141
1035,OK,MN,964438
1036,CO,AK,964383
1037,FL,IA,963154
1038,MN,OK,962730
1039,ND,NV,954985
1040,LA,MN,954708
1041,MN,LA,951337
1042,MI,OK,944141
1043,NM,MD,943359
1044,NV,ND,940296
1045,OR,KY,939518
1046,MD,NM,926835
1047,OH,CT,925871
1048,CO,AR,904871
1049,CT,OH,901293
1050,AR,CO,896845
1051,OR,MI,882241
1052,IL,ID,879140
1053,WA,NM,877651
1054,OK,MI,873478
1055,MD,WA,868959
1056,ME,KY,866296
1057,WA,MD,864937
1058,KY,ME,863157
1059,NM,WA,861517
1060,WV,VA,858720
1061,MI,OR,856542
1062,MA,SC,847843
1063,MA,IN,843820
1064,IN,MA,838823
1065,SC,MA,837184
1066,LA,AL,833215
1067,SC,TN,820078
1068,VA,WV,818977
1069,TN,SC,817419
1070,CT,NJ,814979
1071,UT,TN,807352
1072,TN,UT,802904
1073,ND,AZ,795338
1074,AL,LA,789445
1075,AZ,ND,788555
1076,MO,KS,781515
1077,NJ,CT,779002
1078,MT,AZ,778242
1079,KS,MO,776234
1080,RI,AZ,774857
1081,AZ,MT,772272
1082,AR,NV,767489
1083,NV,AR,756528
1084,IA,KY,753211
1085,AZ,RI,752102
1086,KY,IA,752091
1087,IL,MS,744861
1088,OK,KY,744624
1089,MS,IL,738212
1090,MA,OR,738012
1091,NE,TN,736420
1092,OR,MA,734201
1093,KY,OK,733946
1094,HI,AK,729119
1095,RI,OH,721043
1096,AK,HI,719821
1097,VT,MI,718131
1098,NE,UT,717211
1099,NY,NH,714386
1100,OH,RI,711992
1101,MI,VT,710506
1102,UT,NE,710399
1103,NH,NY,708612
1104,WV,FL,708006
1105,VA,NE,703268
1106,NE,VA,702857
1107,NV,AL,701399
1108,TN,NE,697936
1109,KY,RI,697665
1110,NM,KY,696620
1111,FL,WV,693382
1112,OH,NH,692298
1113,NV,KS,687689
1114,NV,CT,687003
1115,KY,AR,679855
1116,KS,NV,679573
1117,CT,MO,679455
1118,CT,NV,678621
1119,MO,CT,678574
1120,AL,NV,678225
1121,IL,WY,668004
1122,NH,OH,664555
1123,AR,KY,664172
1124,AL,CO,661656
1125,RI,KY,656681
1126,CO,AL,643894
1127,WY,TX,643732
1128,CT,CO,643140
1129,AZ,AR,639201
1130,KY,NH,633711
1131,TX,WY,623879
1132,SD,NV,617442
1133,MT,IL,617326
